,ItemName,Price,Platform
0,['Nestle Honey Stars Cereal (150g)'],6.80,Shopee
1,['Nestle Honey Stars Cereal (300g/150g)'],6.40,Shopee
2,Nestle Honey Stars 150g,8.90,Shopee
3,['Nestle Honey Stars Cereal Econopack (450g x 2 Packs)'],16.55,Shopee
4,['Nestle Honey Stars Cereal (300g)'],29.35,Shopee
5,Nestle Honey Stars 150g,10.50,Shopee
6,Nestle Honey Stars 150g,15.90,Shopee
7,Nestle Honey Stars 150g,6.80,Shopee
8,['Nestle Honey Stars 150g'],7.90,Shopee
9,Nestle Honey Stars 150g,12.90,Shopee
10,['Nestle Honey Stars (150g)'],8.60,Shopee
11,Nestle Honey Stars 150g,6.20,Shopee
12,Nestle Honey Stars 150g,7.65,Shopee
13,Nestle Honey Stars 150g,7.45,Shopee
14,['Nestle Honey Stars (150g)'],8.50,Shopee
15,['NESTLE HONEY STARS-150G'],8.50,Shopee
16,['NESTLE HONEY STAR MEDIUM PACKS 150G'],8.10,Shopee
17,['NESTLE HONEY STARS-150G'],6.79,Shopee
18,['Nestle Honey Stars (150g)'],7.90,Shopee
19,['Nestle Honey Star (150g)'],6.79,Shopee
20,['Nestle Honey Stars (150g)'],6.50,Shopee
21,['Nestle Honey Stars Cereal 150G'],7.45,Shopee
22,['Nestle Honey Stars (150g)'],6.50,Shopee
23,['Nestle Honey Stars Cereal 150g'],8.59,Shopee
24,['Nestle - Honey Stars Cereal 150g'],7.99,Shopee
25,Nestle Honey Stars 150g,7.91,Shopee
26,['Nestle Honey Star Breakfast Cereal With Whole Grain 150g'],9.69,Shopee
27,Nestle Honey Stars 150g,4.90,Shopee
28,['Nestle Honey Stars (150g)'],9.50,Shopee
29,['Nestle Honey Stars Whole Grain (150G)'],9.69,Shopee
30,['Nestle Honey Stars (150g)'],6.50,Shopee
31,['Nestle Honey Stars (150g)'],8.80,Shopee
32,['Nestle Honey Stars Cereal With Whole Grain 150g'],6.50,Shopee
33,Nestle Honey Stars 150g,6.50,Shopee
34,Nestle Honey Stars 150g,7.50,Shopee
35,Nestle Honey Stars 150g,7.20,Shopee
36,Nestle Honey Stars 150g,7.49,Shopee
37,Nestle Honey Stars 150g,7.69,Shopee
38,Nestle Honey Stars 150g,7.21,Shopee
39,Nestle Honey Stars 150g,7.06,Shopee
40,['[1.1] Nestle Honey Stars Cereal (450g)'],7.70,Shopee
41,['Nestle Honey Gold Flakes (220g)'],7.90,Shopee
42,Nestle Honey Stars 150g,11.90,Shopee
43,['!!READY STOCK!!Nestle Nestum Grains & More 3 in 1 Honey 28g x 15s'],6.20,Shopee
44,['Nestle Honey Star Cereal - 300g'],16.55,Shopee
45,['NESTLE NESTUM All Family Cereal Honey (500g x 2 packs)'],7.59,Shopee
46,['Nestle MILO Breakfast Cereal (300g)'],11.80,Shopee
47,['Mi Sedaap Fried Noodle - Original Flavour (5 x 91g)'],20.50,Shopee
48,['NESTLE NESTUM 3in1 Kurma & Prun (10 x 29g)'],8.90,Shopee
49,['Kitkat Sharebag (17g x 12)'],14.29,Shopee
50,['Nestle MILO Breakfast Cereal (330g)'],16.49,Shopee
51,['NESTLE School Pack Cereal (26g x 6 Boxes x 2 Set)'],10.50,Shopee
52,['[1.1] Nestle Nestum Grains & More 3 in 1 Original (28g x 15s)'],5.39,Shopee
53,['NESTLE Koko Krunch Cereal Large (330g/170g) and cookie'],11.11,Shopee
